Date,Open,High,Low,Close,Volume,AdjClose
8/16/1985,12583,12583,12583,12583,0,12583
8/19/1985,12640,12640,12640,12640,0,12640
8/20/1985,12664,12664,12664,12664,0,12664
8/21/1985,12705,12705,12705,12705,0,12705
8/22/1985,12734,12734,12734,12734,0,12734
8/23/1985,12691,12691,12691,12691,0,12691
8/26/1985,12652,12652,12652,12652,0,12652
8/27/1985,12631,12631,12631,12631,0,12631
8/28/1985,12685,12685,12685,12685,0,12685
8/29/1985,12729,12729,12729,12729,0,12729
8/30/1985,12713,12713,12713,12713,0,12713
9/3/1985,12531,12531,12531,12531,0,12531
9/4/1985,12530,12530,12530,12530,0,12530
9/5/1985,12492,12492,12492,12492,0,12492
9/6/1985,12454,12454,12454,12454,0,12454
9/9/1985,12456,12456,12456,12456,0,12456
9/10/1985,12520,12520,12520,12520,0,12520
9/11/1985,12625,12625,12625,12625,0,12625
9/12/1985,12603,12603,12603,12603,0,12603
9/13/1985,12586,12586,12586,12586,0,12586
9/17/1985,12592,12592,12592,12592,0,12592
9/18/1985,12530,12530,12530,12530,0,12530
9/19/1985,12565,12565,12565,12565,0,12565
9/20/1985,12667,12667,12667,12667,0,12667
9/24/1985,12756,12756,12756,12756,0,12756
9/25/1985,12705,12705,12705,12705,0,12705
9/26/1985,12690,12690,12690,12690,0,12690
9/27/1985,12639,12639,12639,12639,0,12639
9/30/1985,12700,12700,12700,12700,0,12700
10/1/1985,12685,12685,12685,12685,0,12685
10/2/1985,12721,12721,12721,12721,0,12721
10/3/1985,12701,12701,12701,12701,0,12701
10/4/1985,12714,12714,12714,12714,0,12714
10/7/1985,12792,12792,12792,12792,0,12792
10/8/1985,12835,12835,12835,12835,0,12835
10/9/1985,12857,12857,12857,12857,0,12857
10/11/1985,12850,12850,12850,12850,0,12850
10/14/1985,13017,13017,13017,13017,0,13017
10/15/1985,13056,13056,13056,13056,0,13056
10/16/1985,13037,13037,13037,13037,0,13037
10/17/1985,13021,13021,13021,13021,0,13021
10/18/1985,12973,12973,12973,12973,0,12973
10/21/1985,13026,13026,13026,13026,0,13026
10/22/1985,13002,13002,13002,13002,0,13002
10/23/1985,12947,12947,12947,12947,0,12947
10/24/1985,12969,12969,12969,12969,0,12969
10/25/1985,12855,12855,12855,12855,0,12855
10/28/1985,12957,12957,12957,12957,0,12957
10/29/1985,12914,12914,12914,12914,0,12914
10/30/1985,12909,12909,12909,12909,0,12909
10/31/1985,12939,12939,12939,12939,0,12939
11/1/1985,12808,12808,12808,12808,0,12808
11/5/1985,12821,12821,12821,12821,0,12821
11/6/1985,12882,12882,12882,12882,0,12882
11/7/1985,12851,12851,12851,12851,0,12851
11/8/1985,12851,12851,12851,12851,0,12851
11/11/1985,12821,12821,12821,12821,0,12821
11/12/1985,12735,12735,12735,12735,0,12735
11/13/1985,12716,12716,12716,12716,0,12716
11/14/1985,12590,12590,12590,12590,0,12590
11/15/1985,12857,12857,12857,12857,0,12857
11/18/1985,12701,12701,12701,12701,0,12701
11/19/1985,12607,12607,12607,12607,0,12607
11/20/1985,12643,12643,12643,12643,0,12643
11/21/1985,12697,12697,12697,12697,0,12697
11/22/1985,12758,12758,12758,12758,0,12758
11/25/1985,12783,12783,12783,12783,0,12783
11/26/1985,12778,12778,12778,12778,0,12778
11/27/1985,12741,12741,12741,12741,0,12741
